Y,X1,X2,X3, 
40848855,535,93,821, 
20418684,146,978,143, 
17851125,375,181,263, 
364161180,615,716,827, 
11867184,112,193,549, 
231128640,723,960,333, 
259002500,422,982,625, 
228095010,585,958,407, 
160699572,327,561,876, 
92757950,290,901,355, 
9165600,50,228,804, 
1674114,381,169,26, 
84033612,702,213,562, 
138367880,839,665,248, 
73597608,322,252,907, 
15009696,633,57,416, 
305498106,829,694,531, 
35468895,107,615,539, 
854667000,890,990,970, 
8436960,180,756,62, 
15221984,698,116,188, 
71321040,801,336,265, 
158289456,676,316,741, 
277938906,553,794,633, 
142388676,449,414,766, 
515030184,876,801,734, 
139253952,668,808,258, 
133607556,508,459,573, 
55220375,223,283,875, 
48653460,81,846,710, 
378897520,776,622,785, 
2717184,488,96,58, 
38476132,478,334,241, 
311249410,718,479,905, 
87230000,488,325,550, 
215274234,679,318,997, 
87773400,310,585,484, 
103738800,271,880,435, 
159835200,670,336,710, 
120648136,581,257,808, 
33243470,565,146,403, 
78114000,831,200,470, 
1358698,818,11,151, 
61291824,519,121,976, 
13945674,573,86,283, 
123777720,891,920,151, 
533520,26,171,120, 
49061565,965,269,189, 
81433218,87,974,961, 
18876000,600,44,715, 
35508000,264,500,269, 
48528140,548,995,89, 
200863920,820,447,548, 
23410688,92,497,512, 
107285607,297,751,481, 
27911798,577,67,722, 
50699960,388,365,358, 
30687052,418,517,142, 
40715024,424,361,266, 
320471516,446,811,886, 
187724680,286,740,887, 
130447200,400,481,678, 
42920000,580,740,100, 
15219200,400,656,58, 
97426680,260,722,519, 
33832212,509,116,573, 
112347648,756,432,344, 
262085616,733,764,468, 
6393156,814,17,462, 
140962635,415,657,517, 
475871440,841,643,880, 
347417185,437,995,799, 
10378296,136,183,417, 
61306960,598,220,466, 
16099840,640,38,662, 
3409392,139,73,336, 
223142528,337,896,739, 
118259622,481,942,261, 
19978704,432,449,103, 
278982088,644,679,638, 
5427616,158,226,152, 
107870400,681,275,576, 
138938400,800,207,839, 
161487300,881,195,940, 
112889406,183,634,973, 
15414168,878,21,836, 
54744760,595,106,868, 
150954052,458,739,446, 
146601511,217,961,703, 
11910744,408,789,37, 
15381450,399,514,75, 
26965825,85,947,335, 
50144640,560,246,364, 
26667936,206,696,186, 
52316496,432,349,347, 
8434070,58,635,229, 
12608064,826,954,16, 
4435200,225,308,64, 
2744718,213,758,17, 
188179200,768,605,405, 
70345980,670,614,171, 
222300380,589,565,668, 
87674832,734,504,237, 
53111800,280,295,643, 
500241588,924,979,553, 
51630075,223,525,441, 
205361595,531,437,885, 
230623920,356,915,708, 
6972000,75,560,166, 
25571280,35,982,744, 
19324188,78,314,789, 
190785280,214,896,995, 
67352415,815,507,163, 
3534960,22,824,195, 
454874090,583,902,865, 
92905875,921,375,269, 
75184740,999,355,212, 
74820834,242,347,891, 
186554368,308,832,728, 
190218060,942,530,381, 
72736818,503,626,231, 
15628640,53,304,970, 
131412116,649,223,908, 
301917780,657,999,460, 
213966480,273,808,970, 
8652672,148,609,96, 
212820176,656,439,739, 
28574260,715,194,206, 
5660400,50,534,212, 
31894128,597,56,954, 
233396800,800,458,637, 
197668800,592,700,477, 
85900584,276,658,473, 
2129760,580,36,102, 
306915336,468,973,674, 
115106112,982,148,792, 
225418820,451,670,746, 
5108103,11,637,729, 
113958426,771,263,562, 
3344512,212,986,16, 
274405824,506,807,672, 
265494240,370,906,792, 
74725328,304,659,373, 
126690480,567,285,784, 
16354701,219,219,341, 
328328640,956,720,477, 
176214801,707,753,331, 
32802,22,3,497, 
195936,104,3,628, 
154321200,297,866,600, 
372876225,547,915,745, 
112131816,668,303,554, 
90604008,684,297,446, 
78079194,146,683,783, 
18398528,58,431,736, 
8380800,291,120,240, 
2494975,35,265,269, 
2486760,901,23,120, 
64611999,789,243,337, 
518667540,795,844,773, 
31094910,990,49,641, 
118285167,993,637,187, 
79429812,341,236,987, 
4403295,45,579,169, 
528954020,929,686,830, 
370849920,896,673,615, 
132860,1,140,949, 
792747704,854,956,971, 
303802400,506,632,950, 
202379584,704,389,739, 
69679764,418,189,882, 
5726448,39,152,966, 
51072500,124,625,659, 
34381424,121,301,944, 
36505664,416,986,89, 
2951665,139,137,155, 
33982165,133,685,373, 
223468311,751,381,781, 
10883978,973,14,799, 
47947648,896,59,907, 
54415200,492,700,158, 
5686200,135,648,65, 
227022000,1000,942,241, 
49174632,214,468,491, 
53479744,712,458,164, 
1572195,5,373,843, 
24759504,588,116,363, 
166826016,996,997,168, 
228568078,379,662,911, 
22604400,690,546,60, 
42115718,137,562,547, 
73611040,332,460,482, 
153621585,591,645,403, 
26182380,399,193,340, 
380378880,801,530,896, 
155465002,914,329,517, 
457475084,694,722,913, 
64274625,155,873,475, 
4522172,514,83,106, 
24512004,99,878,282, 
125926152,484,309,842, 
78019200,432,602,300, 
117810,35,34,99, 
225906720,520,883,492, 
7692300,148,525,99, 
502194420,897,860,651, 
5554662,262,573,37, 
45593184,182,816,307, 
234693184,656,517,692, 
9878476,79,727,172, 
70974252,899,612,129, 
1946868,686,946,3, 
18802702,274,421,163, 
64424448,246,372,704, 
174279420,881,420,471, 
243070740,990,453,542, 
1473584,118,892,14, 
1292928,336,13,296, 
69106228,236,443,661, 
7477974,271,73,378, 
15603200,460,40,848, 
738534300,870,905,938, 
2402862,6,539,743, 
5978728,443,56,241, 
14108844,291,527,92, 
55407938,974,163,349, 
52696500,475,645,172, 
255333168,916,801,348, 
83123892,849,246,398, 
280365020,685,926,442, 
183197457,549,459,727, 
438260199,537,871,937, 
37094712,696,239,223, 
54876955,395,223,623, 
39749710,361,121,910, 
118736100,420,705,401, 
15673372,121,689,188, 
105322140,462,298,765, 
27600768,152,468,388, 
5734176,106,588,92, 
108061317,189,793,721, 
18618786,279,122,547, 
355164612,374,971,978, 
57293383,889,289,223, 
271725450,575,678,697, 
11249714,343,62,529, 
146873870,542,379,715, 
142995996,282,591,858, 
40060572,839,92,519, 
94661819,133,971,733, 
97535340,366,658,405, 
29826810,159,222,845, 
36401267,491,833,89, 
250149696,816,886,346, 
232386345,321,835,867, 
196307532,846,362,641, 
62035848,189,712,461, 
18053739,683,979,27, 
83916996,779,282,382, 
98201885,185,557,953, 
36704074,673,814,67, 
126365889,823,381,403, 
49135680,376,264,495, 
1296000,144,120,75, 
17689380,885,263,76, 
13783700,980,97,145, 
24119694,699,54,639, 
143265480,787,370,492, 
3571920,369,484,20, 
58789440,480,298,411, 
4105764,62,849,78, 
9243710,83,602,185, 
5598065,95,121,487, 
103120256,488,752,281, 
136296048,334,694,588, 
163974740,281,716,815, 
45310760,424,145,737, 
73277568,504,466,312, 
22401456,406,627,88, 
9883800,510,570,34, 
293139000,987,900,330, 
158810670,857,522,355, 
19288125,75,405,635, 
52546065,131,561,715, 
9563565,389,33,745, 
2666144,29,169,544, 
11160000,558,125,160, 
14026959,27,703,739, 
1950165,15,287,453, 
684985447,907,977,773, 
76068387,919,153,541, 
218816928,717,816,374, 
312907905,751,591,705, 
1656102,147,43,262, 
51780300,260,355,561, 
25275872,958,388,68, 
171941399,787,413,529, 
70808530,478,215,689, 
47077250,125,418,901, 
157793305,691,545,419, 
120015966,623,993,194, 
228911452,758,583,518, 
704099200,860,860,952, 
104263916,404,631,409, 
332082621,659,531,949, 
29703600,925,892,36, 
154801304,479,406,796, 
1371040,779,176,10, 
771855160,872,989,895, 
36846684,427,918,94, 
42246750,70,619,975, 
221772175,887,365,685, 
5273268,462,439,26, 
2868008,872,11,299, 
260972544,592,672,656, 
75200670,963,685,114, 
865102904,953,932,974, 
138377273,961,311,463, 
139610304,564,648,382, 
319134816,756,792,533, 
220015953,643,513,667, 
38901096,417,299,312, 
42532336,632,161,418, 
241326000,600,615,654, 
17676225,87,225,903, 
12545573,179,643,109, 
60023040,308,609,320, 
62417880,744,357,235, 
14481648,474,804,38, 
9451458,18,543,967, 
132114300,615,467,460, 
39968236,94,502,847, 
162747420,773,220,957, 
640863916,946,742,913, 
112211200,985,320,356, 
111926584,616,257,707, 
12493635,385,373,87, 
296390411,899,439,751, 
394950400,940,505,832, 
76227228,321,924,257, 
3447600,338,51,200, 
74992896,192,538,726, 
156659360,820,668,286, 
127389870,171,943,790, 
273334659,859,533,597, 
3893670,270,69,209, 
238788000,720,550,603, 
78527855,665,263,449, 
1536528,21,272,269, 
116727408,294,852,466, 
117257868,164,873,819, 
54492900,337,588,275, 
216846576,932,276,843, 
32360724,102,627,506, 
388351740,595,654,998, 
106065570,465,403,566, 
678323590,965,851,826, 
18992232,954,711,28, 
159190140,436,505,723, 
149583510,578,355,729, 
60113664,892,144,468, 
112214700,828,417,325, 
317219364,722,634,693, 
16842400,185,569,160, 
49273596,933,652,81, 
83243484,339,684,359, 
593462455,965,733,839, 
428169888,612,711,984, 
93352160,496,590,319, 
94172628,674,638,219, 
296411694,398,867,859, 
47039950,94,541,925, 
49550760,245,212,954, 
40923648,321,664,192, 
26675012,637,76,551, 
108077904,341,568,558, 
