Y,X1,X2,X3 
173647128,347,719,696 
19033540,629,89,340 
261954000,385,810,840 
31605680,92,386,890 
2647008,56,606,78 
41568390,999,190,219 
3976056,686,23,252 
115471838,961,823,146 
84368856,341,732,338 
177786630,863,218,945 
32180490,697,90,513 
3974400,552,36,200 
376266224,664,842,673 
113772456,342,436,763 
21736512,42,864,599 
238328100,842,306,925 
222251778,646,889,387 
25872522,78,811,409 
19007904,544,57,613 
67495500,750,566,159 
51490560,636,160,506 
66518415,345,333,579 
10051896,694,51,284 
356210415,915,517,753 
359059680,895,796,504 
127954112,416,682,451 
20658876,867,74,322 
237286440,921,452,570 
19893384,413,72,669 
3502272,986,592,6 
55943688,516,718,151 
140203776,587,384,622 
88270200,725,178,684 
621551784,859,876,826 
4905492,842,6,971 
13109040,630,136,153 
56142064,617,968,94 
150579183,303,713,697 
304744800,652,820,570 
562353384,977,827,696 
692330940,994,710,981 
269892000,918,784,375 
74725152,334,354,632 
18014628,758,466,51 
204557298,334,831,737 
101246940,618,254,645 
275688250,545,755,670 
270481488,641,944,447 
186812500,305,875,700 
4933500,260,115,165 
70495392,277,723,352 
248313176,769,446,724 
235548201,623,579,653 
18794048,28,728,922 
16922736,258,72,911 
4393683,49,369,243 
5419440,193,208,135 
737693376,778,996,952 
318067668,738,654,659 
16397316,234,687,102 
48328280,442,284,385 
490301175,665,741,995 
37342662,899,301,138 
628370740,998,797,790 
336065340,996,895,377 
197666840,652,355,854 
11673672,632,47,393 
4992188,89,74,758 
23818860,90,754,351 
175974656,242,874,832 
491555952,972,629,804 
31994176,608,634,83 
44030448,396,308,361 
32576040,973,155,216 
495862220,842,895,658 
129449776,569,236,964 
72660159,729,697,143 
331476600,455,934,780 
102389936,304,457,737 
12274176,786,61,256 
8544074,154,509,109 
145930950,951,330,465 
359963184,948,994,382 
733744860,834,970,907 
127919970,855,478,313 
57987306,559,306,339 
231458472,438,932,567 
835601476,986,863,982 
59135184,886,824,81 
68447040,888,470,164 
326026008,542,868,693 
25232076,342,997,74 
1893912,47,73,552 
28503040,76,586,640 
429600,60,895,8 
21835510,683,115,278 
62895180,590,109,978 
419146855,695,683,883 
10524332,13,812,997 
103536,2,72,719 
130042080,294,970,456 
201430476,741,324,839 
28922355,693,85,491 
176930250,875,402,503 
38230128,114,356,942 
256466964,663,692,559 
31106124,137,714,318 
127609584,487,424,618 
7249500,300,135,179 
74883270,147,842,605 
174158760,920,709,267 
18508032,116,554,288 
23389344,759,144,214 
14588619,111,167,787 
6190200,905,15,456 
126967288,788,238,677 
4095351,71,87,663 
242965125,449,925,585 
3468465,11,429,735 
4177894,653,7,914 
94732092,702,294,459 
320906025,725,789,561 
5869556,133,748,59 
161406672,772,917,228 
22480200,724,450,69 
39052944,742,102,516 
216785360,337,731,880 
117814725,889,855,155 
4412313,549,423,19 
54151620,516,695,151 
37406908,847,724,61 
28628544,716,392,102 
43527330,99,770,571 
197582330,323,737,830 
207275275,475,479,911 
66035508,154,534,803 
280869120,840,972,344 
5699880,223,213,120 
184224000,760,600,404 
42806420,535,241,332 
33112092,403,668,123 
24948480,534,730,64 
79070550,989,390,205 
21317992,79,356,758 
200134800,696,639,450 
2311680,192,28,430 
137619862,367,538,697 
203754906,849,402,597 
227487920,538,440,961 
48846096,208,269,873 
56461482,367,594,259 
42536736,463,198,464 
32243508,327,396,249 
23648680,710,44,757 
189394167,911,393,529 
43436250,750,891,65 
145599176,491,734,404 
17963621,299,823,73 
26099709,51,593,863 
458415180,802,870,657 
347144595,653,915,581 
227802672,368,681,909 
226038528,796,408,696 
143552232,387,796,466 
308974760,556,610,911 
118307774,571,613,338 
195551616,344,911,624 
141748464,429,856,386 
349564160,671,704,740 
264067648,866,733,416 
344967876,638,969,558 
33289865,343,413,235 
391974912,868,588,768 
14377440,389,264,140 
9266544,951,29,336 
9676128,98,242,408 
26745366,326,943,87 
329335227,767,589,729 
76557800,460,935,178 
19960317,949,57,369 
33511104,297,328,344 
63586666,997,143,446 
119486800,830,236,610 
69857346,267,377,694 
86577120,409,288,735 
12207972,238,498,103 
2076732,189,82,134 
44093790,390,169,669 
13512280,85,248,641 
8648640,252,260,132 
514065664,784,766,856 
227062784,461,512,962 
90779325,705,283,455 
57198600,739,645,120 
24897968,94,452,586 
400721510,581,826,835 
364992491,709,587,877 
6482016,71,96,951 
23876160,264,646,140 
147690900,833,450,394 
130775968,716,578,316 
23647862,866,83,329 
